date,country,event,importance,currency,unit,consensus,previous,actual,change,change_percent
2021-05-07 12:30:00,US,Unemployment Rate (Apr),High,USD,%,5.8,6.0,6.1,0.1,1.667
2021-05-12 12:30:00,US,Inflation Rate YoY (Apr),High,USD,%,3.6,2.6,4.2,1.6,61.538
2021-05-12 12:30:00,US,Core Inflation Rate YoY (Apr),High,USD,%,2.3,1.6,3.0,1.4,87.5
2021-05-27 12:30:00,US,GDP Growth Rate QoQ (Q1),High,USD,%,6.5,4.3,6.4,2.1,48.837
2021-05-27 12:30:00,US,Durable Goods Orders MoM (Apr),High,USD,%,0.7,1.3,-1.3,-2.6,-200.0
2021-05-28 12:30:00,US,Core PCE Price Index YoY (Apr),High,USD,%,2.9,1.9,3.1,1.2,63.158
2021-06-04 12:30:00,US,Unemployment Rate (May),High,USD,%,5.9,6.1,5.8,-0.3,-4.918
2021-06-04 12:30:00,US,Non Farm Payrolls (May),High,USD,K,650.0,278.0,559.0,281.0,101.079
2021-06-10 12:30:00,US,Core Inflation Rate YoY (May),High,USD,%,3.4,3.0,3.8,0.8,26.667
2021-06-10 12:30:00,US,Inflation Rate YoY (May),High,USD,%,4.7,4.2,5.0,0.8,19.048
2021-06-15 12:30:00,US,Retail Sales MoM (May),High,USD,%,-0.8,0.9,-1.3,-2.2,-244.444
2021-06-24 12:30:00,US,Durable Goods Orders MoM (May),High,USD,%,2.8,-0.8,2.3,3.1,387.5
2021-06-24 12:30:00,US,GDP Growth Rate QoQ (Q1),High,USD,%,6.4,4.3,6.4,2.1,48.837
2021-06-25 12:30:00,US,Core PCE Price Index YoY (May),High,USD,%,3.4,3.1,3.4,0.3,9.677
2021-07-02 12:30:00,US,Unemployment Rate (Jun),High,USD,%,5.7,5.8,5.9,0.1,1.724
2021-07-02 12:30:00,US,Non Farm Payrolls (Jun),High,USD,K,700.0,583.0,850.0,267.0,45.798
2021-07-13 12:30:00,US,Core Inflation Rate YoY (Jun),High,USD,%,4.0,3.8,4.5,0.7,18.421
2021-07-13 12:30:00,US,Inflation Rate YoY (Jun),High,USD,%,4.9,5.0,5.4,0.4,8.0
2021-07-16 12:30:00,US,Retail Sales MoM (Jun),High,USD,%,-0.4,-1.7,0.6,2.3,135.294
2021-07-27 12:30:00,US,Durable Goods Orders MoM (Jun),High,USD,%,2.1,3.2,0.8,-2.4,-75.0
2021-07-29 12:30:00,US,GDP Growth Rate QoQ Adv (Q2),High,USD,%,8.5,6.3,6.5,0.2,3.175
2021-07-30 12:30:00,US,Core PCE Price Index YoY (Jun),High,USD,%,3.7,3.4,3.5,0.1,2.941
2021-08-06 12:30:00,US,Unemployment Rate (Jul),High,USD,%,5.7,5.9,5.4,-0.5,-8.475
